GalaxyName,HecatePGC,HecateObjectName,HecateDistanceMpc,HecateVelocityKms,HecateMorphT,HecateStellarMassLog
ESO116-G012,11984,ESO116-012,17.57,1149,6.7,9.692
ESO444-G084,48111,ESO444-084,4.529,587.4,10,
ESO563-G021,24685,ESO563-021,79.44,4581,4.4,11.47
IC2574,30819,IC2574,3.835,46,8.9,8.111
IC4202,45549,IC4202,113.8,7126,4.1,11.23
NGC0024,701,NGC0024,7.622,553.3,5.1,9.413
NGC0055,1014,NGC0055,2.055,129.2,8.8,9.357
NGC0100,1525,NGC0100,18.5,838.4,5.8,9.517
NGC0247,2758,NGC0247,3.641,155.4,6.9,9.381
NGC0289,3089,NGC0289,22.88,1630,4,10.75
NGC0300,3238,NGC0300,1.94,164.6,6.9,9.255
NGC0801,7847,NGC0801,55.53,5762,5.3,10.92
NGC0891,9031,NGC0891,9.111,527.7,3.1,10.77
NGC1003,10052,NGC1003,10.76,624.7,6,9.555
NGC1090,10507,NGC1090,30.2,2878,3.8,10.51
NGC1705,16282,NGC1705,5.461,629.2,-2.7,8.495
NGC2366,21102,NGC2366,3.278,99.6,9.8,8.014
NGC2403,21396,NGC2403,3.172,140.9,6,9.757
NGC2683,24930,NGC2683,9.043,420.7,3,10.61
NGC2841,26512,NGC2841,14.51,635.4,2.9,11.13
NGC2903,27077,NGC2903,9.432,555.4,4,10.77
NGC2915,26761,NGC2915,4.03,465.2,1.6,8.511
NGC2955,27666,NGC2955,107.1,7010,3.2,11.27
NGC2976,28120,NGC2976,3.56,4.6,5.2,9.324
NGC2998,28196,NGC2998,61.25,4771,5.1,10.84
NGC3109,29128,NGC3109,1.291,403.1,9.1,7.74
NGC3198,30197,NGC3198,14.39,661.5,5.2,10.44
NGC3521,33550,NGC3521,13.35,801.6,4,11.17
NGC3726,35676,NGC3726,13.94,863.5,5.1,10.41
NGC3741,35878,NGC3741,3.209,228.7,9.9,
NGC3769,35999,NGC3769,13.94,719.9,3.4,9.84
NGC3877,36699,NGC3877,15.53,902.4,5.1,10.58
NGC3893,36875,NGC3893,17.38,961.8,5.1,10.55
NGC3917,37036,NGC3917,16.99,965.1,5.8,10.17
NGC3949,37290,NGC3949,18.69,800,4,10.33
NGC3953,37306,NGC3953,18.93,1051,4,10.97
NGC3972,37466,NGC3972,20.59,854,4,10.02
NGC3992,37617,NGC3992,25.63,1047,4,11.27
NGC4010,37697,NGC4010,18.34,905,6.8,9.921
NGC4013,37691,NGC4013,19.72,835.7,3.1,10.77
NGC4051,38068,NGC4051,11.11,704.3,4,10.25
NGC4068,38148,NGC4068,4.355,209.6,9.9,
NGC4085,38283,NGC4085,19.47,783.7,5.2,10.2
NGC4088,38302,NGC4088,14.96,749.4,4.7,10.59
NGC4100,38370,NGC4100,20.06,1115,4.1,10.62
NGC4138,38643,NGC4138,15.89,875.5,-0.8,10.35
NGC4157,38795,NGC4157,16.95,777.6,3.3,10.74
NGC4183,38988,NGC4183,16.51,919.9,5.9,9.728
NGC4214,39225,NGC4214,2.967,292,9.8,9.012
NGC4217,39241,NGC4217,19.06,1005,3,10.76
NGC4389,40537,NGC4389,10.24,713.3,4,
NGC4559,42002,NGC4559,8.784,813.6,6,10.08
NGC5005,45749,NGC5005,18.7,948.4,4,11.2
NGC5033,45948,NGC5033,16.85,875.7,5,10.97
NGC5055,46153,NGC5055,8.917,507.9,4,10.89
NGC5371,49514,NGC5371,32.95,2578,4,11.22
NGC5585,51210,NGC5585,8.102,303.4,6.9,9.248
NGC5907,54470,NGC5907,16.87,667.4,5.2,10.98
NGC5985,55725,NGC5985,50.12,2519,3.1,11.37
NGC6015,56219,NGC6015,17.71,831.5,5.9,10.34
NGC6195,58596,NGC6195,140,8998,3.1,11.45
NGC6503,60921,NGC6503,6.16,39.4,5.8,9.892
NGC6674,62178,NGC6674,54.11,3429,3,11.09
NGC6789,63000,NGC6789,3.267,-167,9.9,
NGC6946,65001,NGC6946,5.516,45.8,5.9,10.57
NGC7331,69327,NGC7331,14.4,815.6,3.9,11.14
NGC7793,73049,NGC7793,3.431,227.1,7.4,9.56
NGC7814,218,NGC7814,14.39,1053,2,10.71
PGC51017,51017,PGC051017,14.37,613.1,10,
UGC00128,913,UGC00128,65.19,4533,8.1,
UGC00191,1292,UGC00191,17.81,1144,8.6,
UGC00634,3667,UGC00634,26.35,2212,8.8,
UGC00731,4202,UGC00731,13.03,641.2,9.9,7.814
UGC00891,4913,UGC00891,12.89,638,9,
UGC01230,6451,UGC01230,55.36,3837,8.7,
UGC01281,6699,UGC01281,5.267,142.9,7.5,8.013
UGC02023,9726,UGC02023,10.09,603,9.6,
UGC02259,10586,UGC02259,9.954,584.3,7.8,7.777
UGC02885,14030,UGC02885,71.12,5801,5.2,
UGC02916,14341,UGC02916,66.11,4519,2,10.87
UGC03205,16360,UGC03205,54.37,3589,2,10.9
UGC03580,19867,UGC03580,21.61,1206,1.1,9.853
UGC04305,23324,UGC04305,3.383,157.9,9.9,8.771
UGC04483,24213,UGC04483,3.426,157,9.8,
UGC04499,24242,UGC04499,10.86,687.4,8,
UGC05005,26659,UGC05005,55.25,3830,9.9,
UGC05716,31081,UGC05716,20.19,1275,8.8,
UGC05750,31386,UGC05750,59.74,4169,8,
UGC05764,31477,UGC05764,6.886,582,9.9,
UGC05829,31923,UGC05829,7.98,629.4,9.8,
UGC05918,32405,UGC05918,7.08,338.8,9.8,
UGC05999,32661,UGC05999,48.08,3389,9.9,
UGC06399,34971,UGC06399,20.92,793.4,8.7,
UGC06446,35202,UGC06446,18.59,649.8,6.8,
UGC06614,36122,UGC06614,93.21,6358,1,10.83
UGC06628,36188,UGC06628,16.98,849,8.8,8.479
UGC06667,36343,UGC06667,18.84,977.4,6,9.115
UGC06818,37038,UGC06818,19.89,792.7,8,
UGC06917,37525,UGC06917,19.31,912.1,8.5,9.313
UGC06923,37553,UGC06923,16.71,1085,9.6,9.147
UGC06930,37584,UGC06930,16.98,784.1,6.6,9.225
UGC06983,37735,UGC06983,21.76,1081,6,8.714
UGC07089,38356,UGC07089,11.8,772.7,7.9,
UGC07125,38567,UGC07125,21.06,1070,8.7,
UGC07559,40791,UGC07559,4.952,217.2,9.9,
UGC07577,40904,UGC07577,2.648,199.3,9.8,
UGC07608,41063,UGC07608,7.586,536.6,9.8,
UGC07690,41576,UGC07690,7.482,530.7,9.9,
UGC08837,49448,UGC08837,7.2,142.5,9.8,
UGC09037,50455,UGC09037,71.24,5941,5.8,10.49
UGC09992,55809,UGC09992,11.27,427.5,9.9,
UGC10310,57678,UGC10310,15.85,717.1,9.2,
UGC11455,63286,UGC11455,85.75,5393,5.8,11.41
UGC11557,64616,UGC11557,23.66,1388,7.8,
UGC11820,67421,UGC11820,18.78,1104,8.7,
UGC12506,71078,UGC12506,103,7236,5.8,10.96
UGC12632,71596,UGC12632,9.204,422.3,8.7,
UGC12732,72087,UGC12732,14.25,747.3,8.7,
UGCA281,40665,PGC040665,5.768,279.9,10,
UGCA442,72228,ESO471-006,4.375,267.6,8.6,
